image_path,tp,confusions,missed_gt,false_positive,error_score,categories,architecture,best_run
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0823_7.jpg,1,1,7,1,17,B3_B4_confusion;B4_missed;false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0091_2.jpg,0,5,1,4,16,B2_B3_confusion;false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0413_2.jpg,3,0,5,6,16,B4_missed;false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0094_3.jpg,2,2,4,3,15,B3_B4_confusion;B4_missed;false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0546_2.jpg,2,1,5,3,15,B2_B3_confusion;B4_missed;false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0079_4.jpg,0,5,2,0,14,B2_B3_confusion;B3_B4_confusion,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0079_1.jpg,0,4,3,0,14,B2_B3_confusion;B3_B4_confusion,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0684_4.jpg,3,1,5,2,14,B3_B4_confusion;B4_missed;false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0279_1.jpg,1,2,4,1,13,B2_B3_confusion;false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0418_3.jpg,1,2,4,1,13,B2_B3_confusion;B3_B4_confusion;B4_missed;false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0546_1.jpg,2,2,4,1,13,B2_B3_confusion;B4_missed;false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0221_1.jpg,2,1,4,3,13,B3_B4_confusion;false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0293_4.jpg,1,1,4,3,13,B3_B4_confusion;B4_missed;false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0221_4.jpg,2,0,5,3,13,false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0038_2.jpg,1,0,4,5,13,B4_missed;false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0211_1.jpg,1,4,2,0,12,B2_B3_confusion;B3_B4_confusion,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0834_3.jpg,1,3,3,0,12,B2_B3_confusion;B4_missed,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0211_3.jpg,1,3,2,2,12,B2_B3_confusion;false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0384_3.jpg,2,3,2,2,12,B2_B3_confusion;B3_B4_confusion;B4_missed;false_positive,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
/workspace/Dataset-Sawit-YOLO/images/val/DAMIMAS_A21B_0279_4.jpg,0,2,4,0,12,B2_B3_confusion;B3_B4_confusion,yolov8s.pt,p1bfc_yolov8s_640_s1_e30p10m30
