split,conf,precision,recall,map50,map50_95,confusion_b2_b3,b4_recall,branch,candidate,checkpoint,run_name
val,0.1,0.5160895467885428,0.6002582748302572,0.5371943280267729,0.2659351854689833,,0.36892359902168176,one_stage,yolo11m,best,p3os_yolo11m_640_s42_e60fix
val,0.2,0.5030079375530071,0.6181823087008967,0.5330817650692362,0.27197223091973033,,0.3989169675090253,one_stage,yolo11m,best,p3os_yolo11m_640_s42_e60fix
val,0.3,0.5819324463080704,0.4932465120471495,0.5196396151744138,0.2740442000436657,,0.2184115523465704,one_stage,yolo11m,best,p3os_yolo11m_640_s42_e60fix
val,0.4,0.6600172107200776,0.38166571737236515,0.5088282362764427,0.2789899336631675,,0.12454873646209386,one_stage,yolo11m,best,p3os_yolo11m_640_s42_e60fix
val,0.5,0.7235603184499986,0.2811839287089006,0.49635887269180734,0.2799508075502854,,0.061371841155234655,one_stage,yolo11m,best,p3os_yolo11m_640_s42_e60fix
val,0.1,0.5010918388470724,0.5629941040412151,0.49959701952860563,0.24257365491584962,,0.38267148014440433,one_stage,yolo11m,last,p3os_yolo11m_640_s42_e60fix
val,0.2,0.49605833713800923,0.5766052771532059,0.49498360363808674,0.2451111748022666,,0.4043321299638989,one_stage,yolo11m,last,p3os_yolo11m_640_s42_e60fix
val,0.3,0.5416463144740781,0.5128671127742047,0.4905366518418224,0.247395858421046,,0.3176895306859206,one_stage,yolo11m,last,p3os_yolo11m_640_s42_e60fix
val,0.4,0.5905428679565973,0.4287275969361758,0.48099195610449147,0.24890649656236996,,0.22202166064981949,one_stage,yolo11m,last,p3os_yolo11m_640_s42_e60fix
val,0.5,0.640354529298018,0.35431150195791805,0.47457273009252576,0.25209422073792276,,0.14981949458483754,one_stage,yolo11m,last,p3os_yolo11m_640_s42_e60fix
val,0.1,0.4964991448161139,0.5834888879383455,0.524362382425673,0.2673054350357905,,0.34657039711191334,one_stage,yolov8s,best,p3os_yolov8s_640_s42_e60fix
val,0.2,0.49288283151066387,0.589684529541309,0.5185263747385216,0.2729470300287489,,0.35379061371841153,one_stage,yolov8s,best,p3os_yolov8s_640_s42_e60fix
val,0.3,0.5839794191553878,0.46509657880536265,0.5071673243697289,0.27732014067512756,,0.20938628158844766,one_stage,yolov8s,best,p3os_yolov8s_640_s42_e60fix
val,0.4,0.6635937404657111,0.3651752974959681,0.4993823188197023,0.2820124816574149,,0.1299638989169675,one_stage,yolov8s,best,p3os_yolov8s_640_s42_e60fix
val,0.5,0.7039736841828947,0.2582129891771227,0.4762177626412663,0.2827155412173389,,0.0631768953068592,one_stage,yolov8s,best,p3os_yolov8s_640_s42_e60fix
val,0.1,0.5053514288288228,0.5352247862211477,0.4742103130455012,0.22748949188929166,,0.36101083032490977,one_stage,yolov8s,last,p3os_yolov8s_640_s42_e60fix
val,0.2,0.5053514288288228,0.5352247862211477,0.4776129966941458,0.23359650041579494,,0.36101083032490977,one_stage,yolov8s,last,p3os_yolov8s_640_s42_e60fix
val,0.3,0.5259119610500246,0.5135574266915381,0.4765779695902942,0.23746729638041705,,0.3267148014440433,one_stage,yolov8s,last,p3os_yolov8s_640_s42_e60fix
val,0.4,0.5605698554202817,0.462967264397684,0.4728438170448368,0.23929589313450733,,0.2743682310469314,one_stage,yolov8s,last,p3os_yolov8s_640_s42_e60fix
val,0.5,0.5876108228290609,0.39941557286857604,0.4625474019364719,0.23902751780906994,,0.19133574007220217,one_stage,yolov8s,last,p3os_yolov8s_640_s42_e60fix
